Date,Close/Last,Volume,Open,High,Low
03/22/2024,$141.16,1847733,$143.30,$143.665,$141.08
03/21/2024,$143.18,2401551,$142.67,$143.99,$142.03
03/20/2024,$141.77,2341034,$136.46,$141.80,$135.89
03/19/2024,$136.85,2282101,$136.57,$137.91,$136.2529
03/18/2024,$136.27,2799311,$136.00,$136.84,$135.13
03/15/2024,$135.55,4262173,$137.10,$139.9148,$135.34
03/14/2024,$139.43,2248478,$140.29,$141.14,$138.20
03/13/2024,$140.61,1974837,$140.47,$141.17,$139.775
03/12/2024,$140.27,2262854,$139.00,$140.4688,$138.155
03/11/2024,$138.46,2001056,$136.97,$138.59,$135.96
03/08/2024,$137.23,1960039,$138.00,$138.92,$136.76
03/07/2024,$137.65,1593999,$136.50,$138.18,$136.35
03/06/2024,$135.74,2182399,$137.69,$138.10,$135.08
03/05/2024,$137.56,3313749,$134.60,$139.95,$134.60
03/04/2024,$135.99,2589693,$136.34,$137.31,$135.80
03/01/2024,$136.77,2251783,$137.72,$137.91,$135.94
02/29/2024,$137.61,3643465,$138.42,$138.42,$136.16
02/28/2024,$137.62,2947350,$136.33,$138.31,$136.25
02/27/2024,$136.82,3131005,$135.31,$137.075,$134.21
02/26/2024,$134.49,2172587,$134.97,$136.99,$134.39
02/23/2024,$135.52,3092451,$135.39,$136.543,$134.35
02/22/2024,$134.56,4344335,$134.75,$136.28,$134.32
02/21/2024,$135.01,6491433,$136.06,$136.75,$134.07
02/20/2024,$137.39,16526510,$130.83,$138.95,$129.685
02/16/2024,$137.23,1631602,$136.01,$138.01,$135.13
02/15/2024,$136.36,1527017,$135.77,$137.21,$135.375
02/14/2024,$135.11,1271923,$134.95,$135.21,$133.27
02/13/2024,$133.53,2133402,$135.14,$135.14,$132.39
02/12/2024,$137.48,1522380,$135.60,$138.03,$134.8196
02/09/2024,$135.17,1353522,$135.11,$135.50,$133.35
02/08/2024,$135.38,1567653,$133.89,$135.53,$132.50
02/07/2024,$133.97,1445814,$134.85,$135.13,$132.31
02/06/2024,$134.35,1567531,$134.78,$135.45,$133.03
02/05/2024,$135.24,1810203,$135.02,$135.7207,$133.90
02/02/2024,$136.48,2128070,$134.04,$137.25,$133.025
02/01/2024,$134.56,2016887,$135.36,$136.59,$132.15
01/31/2024,$135.32,2192269,$137.11,$138.63,$135.00
01/30/2024,$138.61,1777803,$138.37,$139.19,$137.97
01/29/2024,$138.48,2656538,$139.64,$140.86,$136.95
01/26/2024,$138.72,5350445,$132.55,$139.475,$132.55
01/25/2024,$132.55,4207439,$132.34,$134.00,$131.81
01/24/2024,$131.09,2583267,$130.59,$132.30,$130.0501
01/23/2024,$129.76,2163842,$130.18,$130.30,$129.09
01/22/2024,$129.68,3726247,$128.85,$131.50,$128.56
01/19/2024,$127.98,2981479,$125.85,$128.49,$124.74
01/18/2024,$124.92,2919922,$124.92,$125.51,$123.23
01/17/2024,$126.08,2384459,$125.54,$127.57,$125.13
01/16/2024,$127.52,2762676,$126.90,$128.03,$126.07
01/12/2024,$127.70,2288610,$128.62,$129.34,$126.73
01/11/2024,$128.34,2008214,$128.92,$128.92,$126.74
01/10/2024,$128.94,3669344,$131.28,$131.535,$127.41
01/09/2024,$132.93,2600108,$131.99,$133.47,$131.25
01/08/2024,$133.71,2624734,$131.45,$133.81,$130.79
01/05/2024,$132.42,3511572,$129.44,$134.26,$129.01
01/04/2024,$129.77,2605756,$130.24,$131.33,$129.27
01/03/2024,$130.72,2505221,$130.81,$131.64,$129.015
01/02/2024,$132.11,2176697,$130.60,$132.33,$129.89
12/29/2023,$131.12,1385028,$131.81,$132.50,$130.6451
12/28/2023,$132.02,1198198,$131.13,$132.27,$130.80
12/27/2023,$131.15,1007396,$130.94,$131.28,$130.00
